timestamp [ms],camera transform 0,camera transform 1,camera transform 2,camera transform 3,camera transform 4,camera transform 5,camera transform 6,camera transform 7,camera transform 8,camera transform 9,camera transform 10,camera transform 11,camera transform 12,camera transform 13,camera transform 14,camera transform 15,face transform 0,face transform 1,face transform 2,face transform 3,face transform 4,face transform 5,face transform 6,face transform 7,face transform 8,face transform 9,face transform 10,face transform 11,face transform 12,face transform 13,face transform 14,face transform 15,left eye transform 0,left eye transform 1,left eye transform 2,left eye transform 3,left eye transform 4,left eye transform 5,left eye transform 6,left eye transform 7,left eye transform 8,left eye transform 9,left eye transform 10,left eye transform 11,left eye transform 12,left eye transform 13,left eye transform 14,left eye transform 15,right eye transform 0,right eye transform 1,right eye transform 2,right eye transform 3,right eye transform 4,right eye transform 5,right eye transform 6,right eye transform 7,right eye transform 8,right eye transform 9,right eye transform 10,right eye transform 11,right eye transform 12,right eye transform 13,right eye transform 14,right eye transform 15,camera euler y,camera euler p,camera euler r
1668579986639.0,-0.015919441,-0.8479324,-0.5298655,0.0,0.999873,-0.013929767,-0.0077489866,0.0,-0.0008102866,-0.5299216,0.8480464,0.0,0.0,0.0,0.0,1.0,0.951645,-0.043665074,-0.30408096,0.0,0.03134487,0.99848235,-0.0452827,0.0,0.30559674,0.033561688,0.9515695,0.0,0.04930441,0.24674518,-0.57688993,1.0,0.9597734,-0.060412843,0.27419937,0.0,0.0,0.97657794,0.21516405,0.0,-0.28077573,-0.20650874,0.9372935,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9770524,-0.046628263,0.20783281,0.0,0.0,0.9757444,0.21891282,0.0,-0.21299922,-0.2138893,0.9533534,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5585081,-0.0009554741,-1.5872228
1668579986656.0,-0.015900956,-0.8479429,-0.5298491,0.0,0.9998732,-0.013913879,-0.007739495,0.0,-0.0008096059,-0.529905,0.8480567,0.0,0.0,0.0,0.0,1.0,0.9558796,-0.046116527,-0.29011574,0.0,0.034193464,0.99835426,-0.04603625,0.0,0.2917613,0.03408483,0.9558836,0.0,0.04833204,0.24643484,-0.5764506,1.0,0.96414167,-0.05669376,0.25926167,0.0,0.0,0.97691554,0.21362592,0.0,-0.265388,-0.20596565,0.941885,0.0,0.03422755,0.031666458,0.031331982,1.0,0.98044866,-0.042725626,0.19208042,0.0,0.0,0.9761428,0.21712944,0.0,-0.19677491,-0.21288426,0.95705795,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.55848855,-0.00095465983,-1.5872039
1668579986672.0,-0.015907818,-0.84794056,-0.5298526,0.0,0.99987316,-0.013911649,-0.0077560237,0.0,-0.0007944754,-0.5299088,0.84805435,0.0,0.0,0.0,0.0,1.0,0.959569,-0.049928688,-0.2770103,0.0,0.037878364,0.99809563,-0.04868662,0.0,0.27891362,0.036225453,0.9596328,0.0,0.047734,0.24642035,-0.5770055,1.0,0.974647,-0.038290426,0.22044756,0.0,0.0,0.98524815,0.17113173,0.0,-0.22374825,-0.16679302,0.96026915,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9880496,-0.026738385,0.15179904,0.0,0.0,0.98483866,0.17347275,0.0,-0.15413594,-0.17139968,0.9730695,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.558493,-0.00093682104,-1.5872012
1668579986689.0,-0.015919926,-0.84794295,-0.52984864,0.0,0.999873,-0.013928012,-0.007752684,0.0,-0.00080590614,-0.5299048,0.8480569,0.0,0.0,0.0,0.0,1.0,0.962409,-0.053549632,-0.26627272,0.0,0.041889284,0.99790615,-0.049283583,0.0,0.2683543,0.036277056,0.962637,0.0,0.046822034,0.24649781,-0.57745296,1.0,0.9759944,-0.035965603,0.21480538,0.0,0.0,0.986271,0.16513474,0.0,-0.21779549,-0.16117059,0.962595,0.0,0.03422755,0.031666458,0.031331982,1.0,0.98899597,-0.024755372,0.1458564,0.0,0.0,0.9859007,0.1673313,0.0,-0.14794227,-0.16548997,0.9750518,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5584883,-0.00095029693,-1.5872205
1668579986706.0,-0.015940802,-0.84794736,-0.52984077,0.0,0.9998726,-0.013943229,-0.007767709,0.0,-0.00080108235,-0.52989715,0.8480616,0.0,0.0,0.0,0.0,1.0,0.96454376,-0.05684814,-0.25772822,0.0,0.045562267,0.9977316,-0.049557485,0.0,0.25996077,0.03605772,0.96494573,0.0,0.045893505,0.24663194,-0.57763934,1.0,0.971625,-0.03993708,0.23313072,0.0,0.0,0.9856421,0.16884804,0.0,-0.23652676,-0.16405697,0.95767444,0.0,0.03422755,0.031666458,0.031331982,1.0,0.98586816,-0.028698232,0.1650468,0.0,0.0,0.98521733,0.17130896,0.0,-0.16752324,-0.16888805,0.9712944,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5584793,-0.00094460364,-1.5872383
1668579986722.0,-0.015944146,-0.84794736,-0.52984065,0.0,0.99987257,-0.013948391,-0.007765755,0.0,-0.00080547313,-0.529897,0.8480617,0.0,0.0,0.0,0.0,1.0,0.9667282,-0.060235746,-0.2486123,0.0,0.049273618,0.99752873,-0.050088763,0.0,0.251015,0.036172144,0.96730715,0.0,0.045024503,0.24668218,-0.5778672,1.0,0.97284615,-0.0382722,0.22826648,0.0,0.0,0.9862339,0.16535647,0.0,-0.23145267,-0.16086641,0.9594538,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9867206,-0.027240017,0.16012622,0.0,0.0,0.985837,0.16770655,0.0,-0.16242668,-0.16547951,0.97274566,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5584791,-0.00094978104,-1.5872444
1668579986739.0,-0.015948182,-0.8479407,-0.52985144,0.0,0.9998725,-0.01395061,-0.007769847,0.0,-0.0008033806,-0.5299078,0.84805506,0.0,0.0,0.0,0.0,1.0,0.9687374,-0.06199691,-0.24021697,0.0,0.05106381,0.9973678,-0.051479686,0.0,0.2427762,0.037603885,0.9693534,0.0,0.04401628,0.24640758,-0.5776047,1.0,0.9747174,-0.03354633,0.2209088,0.0,0.0,0.9886655,0.1501348,0.0,-0.22344139,-0.146339,0.9636695,0.0,0.03422755,0.031666458,0.031331982,1.0,0.98797655,-0.023528663,0.1528028,0.0,0.0,0.9883517,0.15218697,0.0,-0.15460366,-0.15035716,0.9764683,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5584919,-0.000947321,-1.5872471
1668579986756.0,-0.015966043,-0.84793365,-0.529862,0.0,0.99987227,-0.013953785,-0.0077984845,0.0,-0.0007809847,-0.52991885,0.8480481,0.0,0.0,0.0,0.0,1.0,0.970872,-0.06394153,-0.2309091,0.0,0.05291253,0.9971569,-0.053650808,0.0,0.23368311,0.039870113,0.97149503,0.0,0.043086182,0.24602245,-0.57715195,1.0,0.9805022,-0.02538193,0.19486208,0.0,0.0,0.99162316,0.12916474,0.0,-0.1965082,-0.12664631,0.97228867,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9918861,-0.01661525,0.12603958,0.0,0.0,0.99142265,0.13069494,0.0,-0.12713002,-0.1296345,0.98337835,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5585049,-0.00092092005,-1.5872511
1668579986772.0,-0.015976945,-0.8479282,-0.52987045,0.0,0.999872,-0.013969634,-0.007793712,0.0,-0.00079358794,-0.5299272,0.84804296,0.0,0.0,0.0,0.0,1.0,0.97285366,-0.06463835,-0.22221018,0.0,0.053887676,0.9970798,-0.054114338,0.0,0.22505905,0.04067096,0.973496,0.0,0.042340018,0.24600916,-0.5771167,1.0,0.9829385,-0.02304631,0.18248482,0.0,0.0,0.9921194,0.12529638,0.0,-0.18393435,-0.12315864,0.97519237,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9934759,-0.014446172,0.113123246,0.0,0.0,0.9919444,0.12667422,0.0,-0.114041924,-0.12584779,0.98547286,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5585147,-0.00093578716,-1.5872699
1668579986789.0,-0.01598027,-0.84792686,-0.5298725,0.0,0.999872,-0.013973228,-0.007794239,0.0,-0.00079508347,-0.52992916,0.8480416,0.0,0.0,0.0,0.0,1.0,0.9746007,-0.06517458,-0.21425617,0.0,0.054469634,0.99697196,-0.0554992,0.0,0.21722452,0.04241922,0.9751996,0.0,0.041601263,0.24582456,-0.57695246,1.0,0.98423904,-0.019684203,0.1757442,0.0,0.0,0.99378586,0.11130883,0.0,-0.17684314,-0.10955449,0.97812283,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9942508,-0.012044183,0.106396824,0.0,0.0,0.9936537,0.11248218,0.0,-0.10707636,-0.111835495,0.98794097,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.55851704,-0.0009375522,-1.5872741
1668579986806.0,-0.015970852,-0.84792775,-0.52987134,0.0,0.99987215,-0.013955186,-0.0078053325,0.0,-0.0007760939,-0.52992827,0.84804225,0.0,0.0,0.0,0.0,1.0,0.97635174,-0.06483108,-0.20623828,0.0,0.054538768,0.99698406,-0.055210616,0.0,0.20919561,0.042656887,0.976943,0.0,0.04090299,0.24567807,-0.57662356,1.0,0.9845034,-0.02183928,0.1740005,0.0,0.0,0.99221516,0.124535635,0.0,-0.1753657,-0.122605756,0.9768392,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9944413,-0.01324889,0.104455896,0.0,0.0,0.99205196,0.12582906,0.0,-0.10529277,-0.12512961,0.9865374,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.55851597,-0.00091515924,-1.5872529
1668579986822.0,-0.015988948,-0.84792596,-0.52987367,0.0,0.99987185,-0.013959398,-0.00783275,0.0,-0.00075512746,-0.52993107,0.8480405,0.0,0.0,0.0,0.0,1.0,0.97838736,-0.06314237,-0.19690391,0.0,0.053384367,0.9970867,-0.054482657,0.0,0.1997704,0.04279343,0.978908,0.0,0.04021422,0.24558356,-0.57632005,1.0,0.98690224,-0.02096499,0.15995155,0.0,0.0,0.99151933,0.1299593,0.0,-0.16131966,-0.12825713,0.9785327,0.0,0.03422755,0.031666458,0.031331982,1.0,0.99588025,-0.011894931,0.08989442,0.0,0.0,0.9913589,0.13117772,0.0,-0.090677984,-0.1306373,0.9872747,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5585193,-0.0008904377,-1.5872579
